state,year,rgn_id,rgn_name,rgn_employment,tr_jobs_3yr,tr_jobs_prev_3yr,tr_job_growth
Maine,2005,6,Maine,27008,27008,NA,NA
New Hampshire,2005,9,New Hampshire,6510,6510,NA,NA
New York,2005,10,New York,217333,217333,NA,NA
Rhode Island,2005,11,Rhode Island,31111,31111,NA,NA
Connecticut,2005,5,Connecticut,28436,28436,NA,NA
Massachusetts,2005,7,Massachusetts-Gulf of Maine,43439.5,43439.5,NA,NA
Massachusetts,2005,8,Massachusetts-Virginian,14275.5,14275.5,NA,NA
Maine,2006,6,Maine,26829,26918.5,27008,NA
New Hampshire,2006,9,New Hampshire,6918,6714,6510,NA
New York,2006,10,New York,222937,220135,217333,NA
Rhode Island,2006,11,Rhode Island,31459,31285,31111,NA
Connecticut,2006,5,Connecticut,29188,28812,28436,NA
Massachusetts,2006,7,Massachusetts-Gulf of Maine,41999,42719.25,43439.5,NA
Massachusetts,2006,8,Massachusetts-Virginian,14147,14211.25,14275.5,NA
Maine,2007,6,Maine,27151,26996,26918.5,NA
New Hampshire,2007,9,New Hampshire,6547,6658.333333333333,6714,NA
New York,2007,10,New York,233362,224544,220135,NA
Rhode Island,2007,11,Rhode Island,32329,31633,31285,NA
Connecticut,2007,5,Connecticut,30373,29332.333333333332,28812,NA
Massachusetts,2007,7,Massachusetts-Gulf of Maine,44790.5,43409.666666666664,42719.25,NA
Massachusetts,2007,8,Massachusetts-Virginian,15640.5,14687.666666666666,14211.25,NA
Maine,2008,6,Maine,26815,26931.666666666668,26996,-0.00670469699214693
New Hampshire,2008,9,New Hampshire,6395,6620,6658.333333333333,-0.039549436795994986
New York,2008,10,New York,240784,232361,224544,0.07232435513752322
Rhode Island,2008,11,Rhode Island,32296,32028,31633,0.02095912496443586
Connecticut,2008,5,Connecticut,30507.5,30022.833333333332,29332.333333333332,0.040063865813607435
Massachusetts,2008,7,Massachusetts-Gulf of Maine,45331,44040.166666666664,43409.666666666664,0.044260494974237785
Massachusetts,2008,8,Massachusetts-Virginian,15737,15174.833333333334,14687.666666666666,0.07144316092867031
Maine,2009,6,Maine,26663,26876.333333333332,26931.666666666668,-0.009975864843121518
New Hampshire,2009,9,New Hampshire,6197,6379.666666666667,6620,-0.06389728096676739
New York,2009,10,New York,238862,237669.33333333334,232361,0.027978016964981256
Rhode Island,2009,11,Rhode Island,31005,31876.666666666668,32028,-0.0319408017984264
Connecticut,2009,5,Connecticut,30642,30507.5,30022.833333333332,0.020623192348046215
Massachusetts,2009,7,Massachusetts-Gulf of Maine,44895.5,45005.666666666664,44040.166666666664,0.019421664314016374
Massachusetts,2009,8,Massachusetts-Virginian,15686.5,15688,15174.833333333334,0.03371810783204654
Maine,2010,6,Maine,27583,27020.333333333332,26876.333333333332,0.026293269171141942
New Hampshire,2010,9,New Hampshire,6379,6323.666666666667,6379.666666666667,-1.0449866764206117e-4
New York,2010,10,New York,250879,243508.33333333334,237669.33333333334,0.055580021542535274
Rhode Island,2010,11,Rhode Island,31245,31515.333333333332,31876.666666666668,-0.019815957335564183
Connecticut,2010,5,Connecticut,30780,30643.166666666668,30507.5,0.008932229779562428
Massachusetts,2010,7,Massachusetts-Gulf of Maine,45894,45373.5,45005.666666666664,0.019738255182680797
Massachusetts,2010,8,Massachusetts-Virginian,16170,15864.5,15688,0.030724120346761863
Maine,2011,6,Maine,29118,27788,27020.333333333332,0.07763289374668458
New Hampshire,2011,9,New Hampshire,6046,6207.333333333333,6323.666666666667,-0.04390912445311268
New York,2011,10,New York,268851,252864,243508.33333333334,0.10407309811436982
Rhode Island,2011,11,Rhode Island,31796,31348.666666666668,31515.333333333332,0.008905717851627859
Connecticut,2011,5,Connecticut,32190,31204,30643.166666666668,0.05047889959153484
Massachusetts,2011,7,Massachusetts-Gulf of Maine,48891,46560.166666666664,45373.5,0.07752322390822841
Massachusetts,2011,8,Massachusetts-Virginian,16472,16109.5,15864.5,0.038293044218222994
Maine,2012,6,Maine,29785,28828.666666666668,27788,0.07186555347632062
New Hampshire,2012,9,New Hampshire,6930,6451.666666666667,6207.333333333333,0.1164214370099883
New York,2012,10,New York,285525,268418.3333333333,252864,0.12916429384965822
Rhode Island,2012,11,Rhode Island,32967,32002.666666666668,31348.666666666668,0.05162367352146813
Connecticut,2012,5,Connecticut,34031,32333.666666666668,31204,0.09059735931290858
